Date,SP500,AAPL,GOOG,AMZN,NVDA,TSLA,MSFT
2016-01-04,2012.6600341796875,105.3499984741211,741.8400268554688,636.989990234375,32.369998931884766,223.41000366210938,54.79999923706055
2016-01-05,2016.7099609375,102.70999908447266,742.5800170898438,633.7899780273438,32.88999938964844,223.42999267578125,55.04999923706055
2016-01-06,1990.260009765625,100.69999694824219,743.6199951171875,632.6500244140625,31.530000686645508,219.0399932861328,54.04999923706055
2016-01-07,1943.0899658203125,96.44999694824219,726.3900146484375,607.9400024414062,30.280000686645508,215.64999389648438,52.16999816894531
2016-01-08,1922.030029296875,96.95999908447266,714.469970703125,607.0499877929688,29.6299991607666,211.0,52.33000183105469
2016-01-11,1923.6700439453125,98.52999877929688,716.030029296875,617.739990234375,29.68000030517578,207.85000610351562,52.29999923706055
2016-01-12,1938.6800537109375,99.95999908447266,726.0700073242188,617.8900146484375,30.18000030517578,209.97000122070312,52.779998779296875
2016-01-13,1890.280029296875,97.38999938964844,700.5599975585938,581.8099975585938,29.260000228881836,200.30999755859375,51.63999938964844
2016-01-14,1921.8399658203125,99.5199966430664,714.719970703125,593.0,28.670000076293945,206.17999267578125,53.11000061035156
2016-01-15,1880.3299560546875,97.12999725341797,694.4500122070312,570.1799926757812,27.110000610351562,204.99000549316406,50.9900016784668
2016-01-19,1881.3299560546875,96.66000366210938,701.7899780273438,574.47998046875,27.329999923706055,204.72000122070312,50.560001373291016
2016-01-20,1859.3299560546875,96.79000091552734,698.4500122070312,571.77001953125,27.479999542236328,198.6999969482422,50.790000915527344
2016-01-21,1868.989990234375,96.30000305175781,706.5900268554688,575.02001953125,27.799999237060547,199.97000122070312,50.47999954223633
2016-01-22,1906.9000244140625,101.41999816894531,725.25,596.3800048828125,28.450000762939453,202.5500030517578,52.290000915527344
2016-01-25,1877.0799560546875,99.44000244140625,711.6699829101562,596.530029296875,28.420000076293945,196.3800048828125,51.790000915527344
2016-01-26,1903.6300048828125,99.98999786376953,713.0399780273438,601.25,28.700000762939453,193.55999755859375,52.16999816894531
2016-01-27,1882.949951171875,93.41999816894531,699.989990234375,583.3499755859375,28.360000610351562,188.07000732421875,51.220001220703125
2016-01-28,1893.3599853515625,94.08999633789062,730.9600219726562,635.3499755859375,28.049999237060547,189.6999969482422,52.060001373291016
2016-01-29,1940.239990234375,97.33999633789062,742.9500122070312,587.0,29.290000915527344,191.1999969482422,55.09000015258789
2016-02-01,1939.3800048828125,96.43000030517578,752.0,574.8099975585938,29.299999237060547,196.94000244140625,54.709999084472656
2016-02-02,1903.030029296875,94.4800033569336,764.6500244140625,552.0999755859375,28.059999465942383,182.77999877929688,53.0
2016-02-03,1912.530029296875,96.3499984741211,726.9500122070312,531.0700073242188,28.200000762939453,173.47999572753906,52.15999984741211
2016-02-04,1915.449951171875,96.5999984741211,708.010009765625,536.260009765625,28.209999084472656,175.3300018310547,52.0
2016-02-05,1880.050048828125,94.0199966430664,683.5700073242188,502.1300048828125,26.43000030517578,162.60000610351562,50.15999984741211
2016-02-08,1853.43994140625,95.01000213623047,682.739990234375,488.1000061035156,25.219999313354492,147.99000549316406,49.40999984741211
2016-02-09,1852.2099609375,94.98999786376953,678.1099853515625,482.07000732421875,25.489999771118164,148.25,49.279998779296875
2016-02-10,1851.8599853515625,94.2699966430664,684.1199951171875,490.4800109863281,25.43000030517578,143.6699981689453,49.709999084472656
2016-02-11,1829.0799560546875,93.69999694824219,683.1099853515625,503.82000732421875,25.299999237060547,150.47000122070312,49.689998626708984
2016-02-12,1864.780029296875,93.98999786376953,682.4000244140625,507.0799865722656,25.729999542236328,151.0399932861328,50.5
2016-02-16,1895.5799560546875,96.63999938964844,691.0,521.0999755859375,26.989999771118164,155.1699981689453,51.09000015258789
2016-02-17,1926.8199462890625,98.12000274658203,708.4000244140625,534.0999755859375,27.65999984741211,168.67999267578125,52.41999816894531
2016-02-18,1917.8299560546875,96.26000213623047,697.3499755859375,525.0,30.040000915527344,166.77000427246094,52.189998626708984
2016-02-19,1917.780029296875,96.04000091552734,700.9099731445312,534.9000244140625,30.440000534057617,166.5800018310547,51.81999969482422
2016-02-22,1945.5,96.87999725341797,706.4600219726562,559.5,31.520000457763672,177.74000549316406,52.650001525878906
2016-02-23,1921.27001953125,94.69000244140625,695.8499755859375,552.9400024414062,31.600000381469727,177.2100067138672,51.18000030517578
2016-02-24,1929.800048828125,96.0999984741211,699.5599975585938,554.0399780273438,31.81999969482422,179.0,51.36000061035156
2016-02-25,1951.699951171875,96.76000213623047,705.75,555.1500244140625,31.889999389648438,187.42999267578125,52.099998474121094
2016-02-26,1948.050048828125,96.91000366210938,705.0700073242188,555.22998046875,31.68000030517578,190.33999633789062,51.29999923706055
2016-02-29,1932.22998046875,96.69000244140625,697.77001953125,552.52001953125,31.360000610351562,191.92999267578125,50.880001068115234
2016-03-01,1978.3499755859375,100.52999877929688,718.8099975585938,579.0399780273438,32.75,186.35000610351562,52.58000183105469
2016-03-02,1986.449951171875,100.75,718.8499755859375,580.2100219726562,32.939998626708984,188.33999633789062,52.95000076293945
2016-03-03,1993.4000244140625,101.5,712.4199829101562,577.489990234375,32.650001525878906,195.74000549316406,52.349998474121094
2016-03-04,1999.989990234375,103.01000213623047,710.8900146484375,575.1400146484375,32.54999923706055,201.0399932861328,52.029998779296875
2016-03-07,2001.760009765625,101.87000274658203,695.1599731445312,562.7999877929688,32.34000015258789,205.2899932861328,51.029998779296875
2016-03-08,1979.260009765625,101.02999877929688,693.969970703125,560.260009765625,31.75,202.60000610351562,51.650001525878906
