Player_Name,Club,Season,Goals,Assists
Sofiane Boufal,Southampton FC,2017,2,2
Matt Phillips,West Bromwich Albion,2017,2,2
Jonny Evans,West Bromwich Albion,2017,2,2
Jake Livermore,West Bromwich Albion,2017,2,2
Sung-yueng Ki,Swansea City,2017,2,2
�rik Lamela,Tottenham Hotspur,2017,2,2
Jeff Hendrick,Burnley FC,2017,2,2
Kenedy,Newcastle United,2017,2,2
Adam Smith,AFC Bournemouth,2017,1,3
Nathan Redmond,Southampton FC,2017,1,3
Jack Wilshere,Arsenal FC,2017,1,3
Charlie Daniels,AFC Bournemouth,2017,1,3
Jonjo Shelvey,Newcastle United,2017,1,3
Collin Quaner,Huddersfield Town,2017,,4
Jos� Holebas,Watford FC,2017,,4
Davy Pr�pper,Brighton & Hove Albion,2017,,4
Tom Carroll,Swansea City,2017,,4
Ryan Bertrand,Southampton FC,2017,,4
Iborra,Leicester City,2017,3,
Bakary Sako,Crystal Palace,2017,3,
James Tomkins,Crystal Palace,2017,3,
Steven Davis,Southampton FC,2017,3,
Daryl Janmaat,Watford FC,2017,3,
Andy Carroll,West Ham United,2017,3,
Jamaal Lascelles,Newcastle United,2017,3,
Rajiv van La Parra,Huddersfield Town,2017,3,
Andy King,Swansea City,2017,3,
Dan Gosling,AFC Bournemouth,2017,2,1
Daniel Sturridge,West Bromwich Albion,2017,2,1
Papa N'Diaye,Stoke City,2017,2,1
Antonio R�diger,Chelsea FC,2017,2,1
Alfie Mawson,Swansea City,2017,2,1
Dejan Lovren,Liverpool FC,2017,2,1
Shane Long,Southampton FC,2017,2,1
Jo�o M�rio,West Ham United,2017,2,1
Idrissa Gueye,Everton FC,2017,2,1
Jack Cork,Burnley FC,2017,2,1
Steve Cook,AFC Bournemouth,2017,2,1
Ciaran Clark,Newcastle United,2017,2,1
Scott Arfield,Burnley FC,2017,2,1
Tom Davies,Everton FC,2017,2,1
Michy Batshuayi,Chelsea FC,2017,2,1
Robbie Brady,Burnley FC,2017,1,2
Andr� Carrillo,Watford FC,2017,1,2
Fabian Delph,Manchester City,2017,1,2
Mamadou Sakho,Crystal Palace,2017,1,2
Kevin Long,Burnley FC,2017,1,2
Tom Cleverley,Watford FC,2017,1,2
Georginio Wijnaldum,Liverpool FC,2017,1,2
Arthur Masuaku,West Ham United,2017,,3
Wilfred Ndidi,Leicester City,2017,,3
C�dric Soares,Southampton FC,2017,,3
Dale Stephens,Brighton & Hove Albion,2017,,3
James Milner,Liverpool FC,2017,,3
Matthew Lowton,Burnley FC,2017,,3
Tom Ince,Huddersfield Town,2017,2,
Hal Robson-Kanu,West Bromwich Albion,2017,2,
Pedro Obiang,West Ham United,2017,2,
Laurent Koscielny,Arsenal FC,2017,2,
Craig Dawson,West Bromwich Albion,2017,2,
Lys Mousset,AFC Bournemouth,2017,2,
Diafra Sakho,West Ham United,2017,2,
Ahmed Hegazy,West Bromwich Albion,2017,2,
Momo Diam�,Newcastle United,2017,2,
Jack Stephens,Southampton FC,2017,2,
Ramadan Sobhi,Stoke City,2017,2,
Maya Yoshida,Southampton FC,2017,2,
Wilfried Bony,Swansea City,2017,2,
Christian Kabasele,Watford FC,2017,2,
Dominic Solanke,Liverpool FC,2017,1,1
Jacob Murphy,Newcastle United,2017,1,1
Trent Alexander-Arnold,Liverpool FC,2017,1,1
Mikel Merino,Newcastle United,2017,1,1
Stefano Okaka,Watford FC,2017,1,1
Alex Pritchard,Huddersfield Town,2017,1,1
Ryan Shawcross,Stoke City,2017,1,1
Moussa Sissoko,Tottenham Hotspur,2017,1,1
Islam Slimani,Newcastle United,2017,1,1
Stephen Ward,Burnley FC,2017,1,1
Davide Zappacosta,Chelsea FC,2017,1,1
Solomon March,Brighton & Hove Albion,2017,1,1
Kiko Femen�a,Watford FC,2017,1,1
Vincent Kompany,Manchester City,2017,1,1
Mario Lemina,Southampton FC,2017,1,1
Gareth Barry,West Bromwich Albion,2017,1,1
